"label.csv_policies.customer","label.csv_policies.state","fact.csv_policies.customer_lifetime_value","label.csv_policies.coverage","label.csv_policies.education","effective_to_date","label.csv_policies.employmentstatus","label.csv_policies.gender","fact.csv_policies.income","label.csv_policies.marital_status","fact.csv_policies.monthly_premium_auto","label.csv_policies.policy_type","label.csv_policies.renew_offer_type","label.csv_policies.sales_channel","fact.csv_policies.total_claim_amount","label.csv_policies.vehicle_class","label.csv_policies.vehicle_size"
"BU79786","Washington","2763.519279","Basic","Bachelor","09/24/2015","Employed","F","56274","Married","69","Corporate Auto","Offer1","Agent","384.811147","Two-Door Car","Medsize"
"QZ44356","Arizona","6979.535903","Extended","Bachelor","08/31/2015","Unemployed","F","0","Single","94","Personal Auto","Offer3","Agent","1131.464935","Four-Door Car","Medsize"
"AI49188","Nevada","12887.43165","Premium","Bachelor","09/19/2015","Employed","F","48767","Married","108","Personal Auto","Offer1","Agent","566.472247","Two-Door Car","Medsize"
"WW63253","California","7645.861827","Basic","Bachelor","08/20/2015","Unemployed","M","0","Married","106","Corporate Auto","Offer1","Call Center","529.881344","SUV","Medsize"
"HB64268","Washington","2813.692575","Basic","Bachelor","09/03/2015","Employed","M","43836","Single","73","Personal Auto","Offer1","Agent","138.130879","Four-Door Car","Medsize"
"OC83172","Oregon","8256.2978","Basic","Bachelor","08/25/2015","Employed","F","62902","Married","69","Personal Auto","Offer2","Web","159.383042","Two-Door Car","Medsize"
"XZ87318","Oregon","5380.898636","Basic","College","09/24/2015","Employed","F","55350","Married","67","Corporate Auto","Offer1","Agent","321.6","Four-Door Car","Medsize"
"CF85061","Arizona","7216.100311","Premium","Master","08/18/2015","Unemployed","M","0","Single","101","Corporate Auto","Offer1","Agent","363.02968","Four-Door Car","Medsize"
"DY87989","Oregon","24127.50402","Basic","Bachelor","08/26/2015","Medical Leave","M","14072","Divorced","71","Corporate Auto","Offer1","Agent","511.2","Four-Door Car","Medsize"
"BQ94931","Oregon","7388.178085","Extended","College","09/17/2015","Employed","F","28812","Married","93","Special Auto","Offer2","Branch","425.527834","Four-Door Car","Medsize"
"SX51350","California","4738.992022","Basic","College","09/21/2015","Unemployed","M","0","Single","67","Personal Auto","Offer1","Agent","482.4","Four-Door Car","Small"
"VQ65197","California","8197.197078","Basic","College","08/06/2015","Unemployed","F","0","Married","110","Personal Auto","Offer2","Agent","528","SUV","Medsize"
"DP39365","California","8798.797003","Premium","Master","09/06/2015","Employed","M","77026","Married","110","Corporate Auto","Offer2","Agent","472.029737","Four-Door Car","Medsize"
"SJ95423","Arizona","8819.018934","Basic","High School or Below","08/10/2015","Employed","M","99845","Married","110","Corporate Auto","Offer2","Branch","528","SUV","Medsize"
"IL66569","California","5384.431665","Basic","College","08/18/2015","Employed","M","83689","Single","70","Corporate Auto","Offer4","Call Center","307.139132","Four-Door Car","Medsize"
"BW63560","Oregon","7463.139377","Basic","Bachelor","08/17/2015","Employed","F","24599","Married","64","Corporate Auto","Offer2","Branch","42.920271","Four-Door Car","Medsize"
"FV94802","Nevada","2566.867823","Basic","High School or Below","09/06/2015","Medical Leave","M","25049","Married","67","Personal Auto","Offer2","Call Center","454.245098","Two-Door Car","Medsize"
"OE15005","California","3945.241604","Basic","College","08/05/2015","Medical Leave","M","28855","Married","101","Personal Auto","Offer3","Call Center","647.442031","SUV","Medsize"
"WC83389","Oregon","5710.333115","Basic","College","09/27/2015","Employed","M","51148","Married","72","Personal Auto","Offer2","Branch","308.981664","Four-Door Car","Medsize"
"FL50705","California","8162.617053","Premium","High School or Below","08/14/2015","Employed","F","66140","Married","101","Corporate Auto","Offer1","Call Center","484.8","Four-Door Car","Small"
"ZK25313","Oregon","2872.051273","Basic","High School or Below","09/19/2015","Employed","M","57749","Single","74","Personal Auto","Offer1","Branch","355.2","Two-Door Car","Medsize"
"SV62436","Washington","3041.791561","Extended","Bachelor","08/21/2015","Disabled","F","13789","Divorced","79","Personal Auto","Offer4","Call Center","379.2","Four-Door Car","Medsize"
"YH23384","Arizona","24127.50402","Basic","Bachelor","08/26/2015","Medical Leave","M","14072","Divorced","71","Personal Auto","Offer1","Agent","511.2","Four-Door Car","Medsize"
"TZ98966","Nevada","2450.190996","Basic","Bachelor","09/24/2015","Unemployed","F","0","Single","73","Corporate Auto","Offer1","Branch","554.376763","Four-Door Car","Medsize"
"HM55802","California","2392.10789","Basic","Bachelor","09/05/2015","Disabled","F","17870","Married","61","Corporate Auto","Offer2","Branch","439.2","Four-Door Car","Medsize"
"FS42516","Oregon","5802.065978","Basic","College","08/29/2015","Employed","M","97541","Married","72","Personal Auto","Offer2","Call Center","389.185006","Four-Door Car","Large"
"US89481","California","3946.372085","Premium","Bachelor","09/28/2015","Unemployed","F","0","Single","111","Personal Auto","Offer1","Agent","799.2","Four-Door Car","Small"
"HO30839","Washington","5346.916576","Extended","Master","09/12/2015","Disabled","F","10511","Married","139","Corporate Auto","Offer1","Branch","516.237951","SUV","Medsize"
"GE62437","Arizona","12902.56014","Premium","College","09/02/2015","Employed","F","86584","Single","111","Personal Auto","Offer1","Call Center","532.8","Four-Door Car","Large"
"EJ77678","Oregon","3235.360468","Extended","Master","09/07/2015","Employed","F","75690","Married","80","Personal Auto","Offer2","Branch","384","Four-Door Car","Small"
"SV85652","Arizona","2454.58354","Basic","College","09/28/2015","Employed","M","23158","Married","63","Personal Auto","Offer4","Call Center","322.294043","Four-Door Car","Small"
"UL64533","Nevada","18975.45611","Extended","High School or Below","08/22/2015","Employed","M","65999","Married","237","Corporate Auto","Offer2","Agent","615.927769","Luxury SUV","Medsize"
"PF41800","California","4715.321344","Basic","Bachelor","08/25/2015","Unemployed","M","0","Married","65","Personal Auto","Offer1","Call Center","308.15089","Four-Door Car","Medsize"
"AO98601","Washington","5018.885233","Basic","Bachelor","08/18/2015","Employed","M","54500","Married","63","Corporate Auto","Offer1","Agent","302.4","Two-Door Car","Small"
"SK67821","Oregon","4932.916345","Basic","Bachelor","09/13/2015","Employed","F","37260","Married","62","Corporate Auto","Offer3","Web","15.437681","Four-Door Car","Medsize"
"YV55495","Arizona","5744.229745","Basic","High School or Below","08/15/2015","Employed","F","68987","Married","71","Personal Auto","Offer1","Branch","204.475147","Four-Door Car","Medsize"
"KY38074","California","13891.73567","Premium","Bachelor","08/08/2015","Employed","M","42305","Married","117","Personal Auto","Offer1","Agent","561.6","Four-Door Car","Small"
"DM79012","Oregon","7380.976717","Extended","Master","09/06/2015","Employed","F","65706","Married","91","Personal Auto","Offer2","Web","436.8","Four-Door Car","Small"
"CM61827","Oregon","3090.034104","Extended","Bachelor","08/25/2015","Unemployed","M","0","Single","90","Personal Auto","Offer3","Agent","648","Two-Door Car","Small"
"WC35801","Arizona","2521.633095","Basic","High School or Below","09/07/2015","Employed","M","53243","Divorced","66","Personal Auto","Offer1","Call Center","157.397849","Four-Door Car","Medsize"
"QG25316","Nevada","2652.061785","Basic","High School or Below","08/18/2015","Unemployed","F","0","Married","70","Corporate Auto","Offer3","Call Center","484.318536","Two-Door Car","Medsize"
"MB98372","Oregon","2771.045031","Basic","College","08/11/2015","Employed","F","50071","Single","71","Corporate Auto","Offer2","Agent","18.918935","Two-Door Car","Medsize"
"IL19217","California","3939.00637","Extended","Bachelor","08/28/2015","Employed","F","60021","Married","99","Personal Auto","Offer2","Agent","882.871945","Four-Door Car","Small"
"SR38658","Arizona","12231.87968","Basic","High School or Below","09/08/2015","Employed","M","43244","Married","103","Personal Auto","Offer4","Agent","494.4","Sports Car","Medsize"
"DH41343","Washington","2443.665166","Basic","College","09/23/2015","Employed","M","92834","Married","61","Special Auto","Offer2","Call Center","292.8","Four-Door Car","Large"
